species,leaf.size,inflor.size
albicans,10.3,9.75
alborufescens,7.05,3.95
amnicola,11.5,14
argyrophylla,15.75,9.55
atlantica,16,7.25
baumgratziana,11.4,13.75
budlejoides,14.25,7.55
burchellii,7,8
castaneiflora,17.75,12.25
chrysophylla,13,9
cinerascens,9.35,12.4
cipoensis,4,5.5
corallina,13,12.6
cowanii,16.5,17.25
cubatanensis,6,5.1
cyathanthera,3,2
dichrophylla,11.5,9
discolor,12.3,14.7
dispar,26.3,20.8
fallax,10.2,6
fasciculata,13.9,13.8
ferruginata,10.75,22.5
flammea,12.7,13
formosa,18,17.6
heliotropoides,9.4,8.3
hyemalis,7.2,7.2
hypoleuca,19,11
kollmannii,7.4,11.5
lepidota,11,14
longispicata,21.5,24.25
lourteigiana,14.5,8.75
lymanii,7.2,6.5
macrothyrsa,10.1,14.45
macuxi,8.5,8
mayarae,12.5,7.5
multispicata,11.5,11.5
navioensis,9.5,6.3
octopetala,29.75,15.75
penduliflora,5.7,3.5
pepericarpa,8.35,8.85
petroniana,14,10
polyandra,7.85,6.65
pterocaulon,19.25,16.5
punctata,18.6,11.7
racemifera,16.25,9.5
rondoniensis,24.5,21.5
rufescens,8.35,19
ruficalyx,9.55,9.15
ruschiana,12.5,7
sclerophylla,9.5,10
secundiflora,13.5,11
serialis,14,12.5
shepherdii,17,16.25
stenostachya,10.45,12.2
suberosa,27,27
tiliifolia,10.2,12.5
valtheri,11.3,12.65
willdenowii,15,14
