species,dispersal
Tibouchina_herbacea,Anemochory
Eriocnema_fulva,Anemochory
Miconia_poeppigii,Autochory
Bellucia_grossularioides,Zoochory
Leandra_hirtella,Zoochory
Leandra_mosenii,Zoochory
Leandra_niangaeformis,Zoochory
Miconia_pyrifolia,Zoochory
Miconia_theizans,Zoochory
Tibouchina_mutabilis,Anemochory
Leandra_hirtella,Zoochory
Leandra_mosenii,Zoochory
Leandra_niangaeformis,Zoochory
Miconia_pyrifolia,Zoochory
Leandra_reversa,Zoochory
Miconia_theizans,Zoochory
Tibouchina_mutabilis,Anemochory
Tibouchina_pulchra,Autochory
Miconia_cinnamomifolia,Zoochory
Leandra_purpurascens,Zoochory
Miconia_ligustroides,Zoochory
Miconia_ligustroides,Zoochory
Miconia_affinis,Zoochory
Miconia_argentea,Zoochory
Mouriri_myrtilloides,Zoochory
Miconia_argentea,Zoochory
Cambessedesia_corymbosa,Autochory
Miconia_affinis,Zoochory
Clidemia_densiflora,Zoochory
Miconia_barbinervis,Zoochory
Miconia_centrodesma,Zoochory
Clidemia_crenulata,Zoochory
Clidemia_dentata,Zoochory
Miconia_dorsiloba,Zoochory
Miconia_gracilis,Zoochory
Miconia_grayumii,Zoochory
Clidemia_japurensis,Zoochory
Leandra_consimilis,Zoochory
Miconia_longifolia,Zoochory
Ossaea_macrophylla,Zoochory
Miconia_multispicata,Zoochory
Ossaea_micrantha,Zoochory
Miconia_nervosa,Zoochory
Clidemia_discolor,Zoochory
Leandra_mexicana,Zoochory
Miconia_simplex,Zoochory
Conostegia_subcrustulata,Zoochory
Leandra_dichotoma,Zoochory
Nepsera_aquatica,Anemochory
Miconia_albicans,Zoochory
Miconia_chamissois,Zoochory
Miconia_fallax,Zoochory
Miconia_ligustroides,Zoochory
Miconia_rubiginosa,Zoochory
Leandra_solenifera,Zoochory
Tibouchina_grossa,Anemochory
Miconia_ligustrina,Zoochory
Miconia_squamulosa,Zoochory
Bellucia_grossularioides,Zoochory
Cambessedesia_hilariana,Autochory
Miconia_cinnamomifolia,Zoochory
Leandra_purpurascens,Zoochory
Tibouchina_granulosa,Anemochory
Tibouchina_multiflora,Autochory
Miconia_summa,Zoochory
Miconia_theizans,Zoochory
Miconia_theizans,Zoochory
Miconia_discolor,Zoochory
Miconia_albicans,Zoochory
Miconia_argyrophylla,Zoochory
Miconia_argentea,Zoochory
Miconia_cinnamomifolia,Zoochory
Miconia_ferruginata,Zoochory
Tibouchina_papyrus,Autochory
Miconia_cinnamomifolia,Anemochory
Ossaea_retropila,Zoochory
Tibouchina_clavata,Anemochory
Miconia_argentea,Zoochory
Miconia_calvescens,Zoochory
Clidemia_hirta,Zoochory
Miconia_theizans,Zoochory
Miconia_cinnamomifolia,Zoochory
Lavoisiera_francavillana,Autochory
Lavoisiera_cordata,Autochory
Chaetostoma_armatum,Autochory
Trembleya_laniflora,Autochory
Adelobotrys_adscendens,Anemochory
Bellucia_grossularioides,Zoochory
Loreya_mespiloides,Zoochory
Loreya_subrotundifolia,Zoochory
Bertolonia_mosenii,Hidrochory
Melastoma_dodecandrum,Zoochory
Melastoma_sanguineum,Zoochory
Memecylon_ligustrifolium,Zoochory
Miconia_argentea,Zoochory
Leandra_rufescens,Zoochory
Miconia_aulocalyx,Zoochory
Miconia_ceramicarpa,Zoochory
Miconia_fragilis,Zoochory
Miconia_laevigata,Zoochory
Ossaea_micrantha,Zoochory
Conostegia_bernoulliana,Zoochory
Miconia_trinervia,Zoochory
Conostegia_xalapensis,Zoochory
Mouriri_collocarpa,Zoochory
Mouriri_crassifolia,Zoochory
Mouriri_francavillana,Zoochory
Mouriri_gleasoniana,Zoochory
Miconia_albicans,Zoochory
Miconia_angelana,Zoochory
Marcetia_taxifolia,Autochory
Acisanthera_alsinifolia,Autochory
Acisanthera_punctatissima,Autochory
Cambessedesia_hilariana,Autochory
Tibouchina_cardinalis,Autochory
Comolia_sertularia,Autochory
Comolia_sessilis,Autochory
Lithobium_cordatum,Autochory
Macairea_radula,Autochory
Marcetia_taxifolia,Autochory
Merianthera_sipolisii,Autochory
Miconia_albicans,Zoochory
Miconia_alborufescens,Zoochory
Leandra_aurea,Zoochory
Miconia_chamissois,Zoochory
Miconia_cipoensis,Zoochory
Miconia_corallina,Zoochory
Miconia_elegans,Zoochory
Miconia_ferruginata,Zoochory
Miconia_ibaguensis,Zoochory
Miconia_irwinii,Zoochory
Leandra_coriacea,Zoochory
Miconia_ligustroides,Zoochory
Clidemia_urceolata,Zoochory
Miconia_rubiginosa,Zoochory
Clidemia_capitellata,Zoochory
Miconia_stenostachya,Zoochory
Miconia_theizans,Zoochory
Chaetostoma_armatum,Autochory
Microlicia_avicularis,Autochory
Lavoisiera_caryophyllea,Autochory
Lavoisiera_imbricata,Autochory
Lavoisiera_confertiflora,Autochory
Lavoisiera_cordata,Autochory
Lavoisiera_camposportoana,Autochory
Microlicia_fulva,Autochory
Microlicia_graveolens,Autochory
Trembleya_laniflora,Autochory
Trembleya_parviflora,Autochory
Lavoisiera_pulcherrima,Autochory
Lavoisiera_subulata,Autochory
Tibouchina_candolleana,Autochory
Tibouchina_heteromalla,Autochory
Tibouchina_martiusiana,Autochory
Pterolepis_alpestris,Autochory
Rhynchanthera_cordata,Autochory
Rhynchanthera_grandiflora,Autochory
Miconia_ligustroides,Zoochory
Miconia_pepericarpa,Zoochory
Trembleya_laniflora,Autochory
Brasilianthus_carajensis,Autochory
Pleroma_carajasense,Anemochory
Tibouchina_edmundoi,Autochory
