species,growth_form,plant_height_m,seed_length_mm
Centradenia_paradoxa,shrub,1.75,0.5
Miconia_coloradensis,herb,1,0.5
Miconia_longibracteata,shrub,2,1
Miconia_centrosperma,tree,3.5,0.5
Miconia_santaritensis,tree,4,0.88
Graffenrieda_bella,tree,5,1
Clidemia_tetrapetala,shrub,1.5,0.75
Conostegia_trichosantha,shrub,1.75,0.5
Miconia_moorei,shrub,0.75,0.62
Miconia_celaquensis,shrub,1.25,0.88
Centradeniastrum_roseum,shrub,0.6,1
Heterocentron_evansii,shrub,1,0.5
Clidemia_davidsei,shrub,2,0.5
Clidemia_evanescens,shrub,2.25,0.5
Clidemia_inopinata,shrub,1.5,0.4
Clidemia_lanuginosa,shrub,1.25,0.5
Clidemia_pectinata,shrub,1.5,0.62
Clidemia_quinquenervia,shrub,3.25,0.5
Clidemia_rodriguezii,shrub,0.95,0.5
Clidemia_tenebrosa,shrub,2,0.5
Clidemia_ventricosa,shrub,0.75,0.5
Miconia_commutata,tree,9.5,1.25
Miconia_danielii,shrub,2.5,0.5
Tibouchina_wurdackii,shrub,1.5,0.28
Arthrostemma_alatum,herb,0.5,1
Arthrostemma_parvifolium,herb,0.45,0.88
Bellucia_grossularioides,tree,16.5,0.7
Loreya_mespiloides,tree,9.5,0.5
Bellucia_pentamera,tree,8,0.7
Loreya_umbellata,tree,12.5,0.75
Topobea_aeruginosa,tree,6.5,1
Topobea_amplifolia,tree,6,1
Blakea_gregii,shrub,3,1
Topobea_caliginosa,shrub,1,1
Topobea_parvifolia,tree,6.5,1
Centradenia_floribunda,shrub,1,0.5
Centradenia_inaequilateralis,shrub,1,0.5
Tibouchina_ciliaris,shrub,1.5,0.5
Tibouchina_longisepala,shrub,1.5,0.5
Tibouchina_naudiniana,shrub,1,0.62
Graffenrieda_bella,tree,5,1
Graffenrieda_galeottii,tree,9.5,2.25
Graffenrieda_gentlei,tree,4,1
Henriettella_odorata,tree,9.5,1
Henriettea_ramiflora,tree,12,1
Heterocentron_evansii,shrub,1,0.5
Heterocentron_hirtellum,shrub,2,1
Heterocentron_muricatum,shrub,1,0.62
Heterocentron_suffruticosum,shrub,1,0.62
Meriania_grandiflora,tree,9,0.75
Meriania_macrophylla,tree,13.5,1
Meriania_odorata,tree,11.5,2.5
Meriania_panamensis,tree,7,1.5
Miconia_aeruginosa,shrub,2,0.85
Miconia_albicans,shrub,3,1
Clidemia_allenii,shrub,2.25,0.5
Miconia_alpestris,shrub,4,0.5
Maieta_poeppigii,shrub,1.25,0.5
Miconia_amplinodis,shrub,1.25,0.88
Clidemia_densiflora,shrub,2.25,0.62
Miconia_barbinervis,shrub,2.5,0.88
Miconia_benthamiana,shrub,2,0.25
Miconia_biolleyana,shrub,1,0.5
Miconia_brachybotrya,shrub,2,0.5
Clidemia_novemnervia,shrub,1.75,0.5
Miconia_celaquensis,shrub,1.25,0.88
Miconia_centronioides,tree,7.5,0.62
Miconia_centrosperma,tree,3.5,0.5
Clidemia_involucrata,shrub,2.5,0.62
Leandra_chaetodon,shrub,2,0.62
Miconia_chamissois,shrub,2.75,0.85
Miconia_chinantlana,shrub,2.75,0.88
Miconia_ciliata,shrub,0.5,0.5
Miconia_cionotricha,shrub,3.25,1
Miconia_coloradensis,shrub,1,0.5
Miconia_commutata,tree,9.5,1.25
Miconia_costaricensis,shrub,2.25,0.55
Miconia_cremadena,shrub,3.5,0.5
Clidemia_crenulata,shrub,3,0.5
Tococa_croatii,shrub,1,0.5
Clidemia_fulva,shrub,1.5,0.75
Clidemia_cymifera,shrub,1.25,0.5
Miconia_danielii,shrub,2.5,0.5
Clidemia_davidsei,shrub,2,0.5
Clidemia_dentata,shrub,2.5,0.5
Miconia_dissitiflora,shrub,2,0.5
Miconia_dodecandra,tree,10,1
Miconia_dolichopoda,tree,9,1.25
Miconia_dolichorrhyncha,tree,9,1.25
Clidemia_ciliata_var._elata,shrub,2,0.88
Miconia_elata,tree,24,1
Miconia_emendata,tree,3.75,0.88
Clidemia_evanescens,shrub,2.25,0.5
Clidemia_folsomii,shrub,1.5,0.5
Clidemia_collina,shrub,1.25,0.5
Conostegia_fraterna,shrub,2,0.5
Miconia_friedmaniorum,tree,3.5,0.5
Miconia_glabrata,shrub,1.5,1
Miconia_globulifera,shrub,3.25,0.88
Leandra_granatensis,shrub,3,0.3
Miconia_guatemalensis,shrub,2,0.5
Clidemia_japurensis_var._heterobasis,shrub,2,0.5
Clidemia_hirta,shrub,1.25,0.7
Miconia_ibaguensis,shrub,2,1
Miconia_incurva,tree,6.5,0.5
Clidemia_inopinata,shrub,1.5,0.4
Miconia_iteophylla,shrub,1,0.5
Miconia_jefensis,shrub,3,0.5
Miconia_jitotolana,shrub,1.5,0.75
Miconia_lacera,shrub,2,0.85
Miconia_laevigata,shrub,3.75,0.5
Miconia_lamprophylla,shrub,2.5,0.5
Leandra_lasiopetala,shrub,2.5,0.62
Miconia_lateriflora,shrub,2,0.5
Clidemia_laxiflora,shrub,1.5,0.5
Miconia_longibracteata,shrub,2,1
Leandra_longicoma,shrub,2,0.5
Pachyanthus_lundellianus,shrub,1.75,0.88
Clidemia_matudae,shrub,2.25,0.5
Leandra_melanodesma,shrub,3,0.5
Clidemia_donnell-smithii,shrub,2,0.5
Miconia_mirabilis,tree,7,1.25
Clidemia_monantha,shrub,2,0.5
Miconia_morii,shrub,2.1,0.75
Clidemia_coloradensis,shrub,1,0.5
Clidemia_coronata,shrub,1.25,0.38
Clidemia_lanuginosa,shrub,1.25,0.5
Clidemia_pectinata,shrub,1.5,0.62
Clidemia_urceolata,shrub,2,1
Clidemia_oblonga,shrub,1.25,0.45
Clidemia_octona,shrub,2.5,0.5
Miconia_oinochrophylla,shrub,2.5,0.5
Leandra_multiplinervis,shrub,2.5,0.5
Clidemia_ostrina,shrub,3,0.45
Miconia_pendula,shrub,4,0.5
Clidemia_petiolaris,shrub,1.5,0.5
Tococa_platyphylla,shrub,1.25,0.62
Miconia_darienensis,tree,17.5,1
Clidemia_gracilis,shrub,1.5,0.75
Miconia_punctata,tree,13,1.75
Clidemia_discolor,shrub,2,0.2
Miconia_purulensis,shrub,3.5,0.5
Clidemia_cuatrecasasii,shrub,4,0.5
Clidemia_quinquenervia,shrub,3.25,0.5
Miconia_ravenii,shrub,2.25,0.88
Clidemia_reitziana,shrub,2.5,0.5
Clidemia_rodriguezii,shrub,0.95,0.5
Miconia_santaritensis,tree,4,0.88
Miconia_schippii,shrub,3.5,0.4
Leandra_grandifolia,shrub,3,0.3
Leandra_mexicana,shrub,2,0.5
Clidemia_septuplinervia,shrub,2.85,0.5
Clidemia_sericea,shrub,2,1
Clidemia_sessiliflora,shrub,2.25,0.75
Clidemia_ombrophila,shrub,2,0.5
Clidemia_capitellata,shrub,2,0.5
Miconia_stevensiana,tree,7.25,1.75
Clidemia_strigillosa,shrub,2,0.5
Clidemia_submontana,shrub,2,0.5
Leandra_dichotoma,shrub,2,0.3
Miconia_sylvatica,shrub,2.5,0.62
Miconia_talamancensis,tree,10.5,0.62
Clidemia_taurina,shrub,1.25,0.5
Clidemia_tenebrosa,shrub,2,0.5
Clidemia_tetrapetala,shrub,2,0.75
Miconia_tixixensis,shrub,2,0.75
Miconia_tomentosa,tree,12,1
Conostegia_trichosantha,shrub,2.5,0.5
Miconia_trinervia,tree,10,1
Miconia_triplinervis,shrub,3,0.85
Miconia_tuerckheimii,shrub,2.5,0.88
Miconia_valerioana,shrub,2.25,0.5
Clidemia_ventricosa,shrub,0.75,0.5
Clidemia_diffusa,shrub,2.5,0.5
Miconia_vestita,tree,3.5,1
Mouriri_completens,tree,18,11
Mouriri_cyphocarpa,tree,9,11.1
Mouriri_panamensis,tree,7,8.5
Mouriri_steyermarkii,tree,12.2,6.5
Mouriri_tuberculata,tree,14,17.5
Tibouchina_bipenicillata,shrub,2,0.75
Tibouchina_aspera,shrub,1.75,0.75
Rhynchanthera_grandiflora,shrub,1.75,1
Rhynchanthera_mexicana,shrub,2,1
Rhynchanthera_paludicola,shrub,1.5,1
Microlicia_wurdackiana,shrub,1.7,0.62
Miconia_mcphersonii,tree,4.5,1.4
Graffenrieda_jefensis,tree,8.5,1.15
Graffenrieda_maklenkensis,tree,7.5,0.9
Pterolepis_haplostemona,herb,0.14,0.75
Brasilianthus_carajensis,herb,0.21,0.64
Miconia_angustidentata,shrub,1.5,0.21
Monochaetum_carbonoi,shrub,2,0.65
Monochaetum_longicaudatum,shrub,3,0.6
Monochaetum_perijense,shrub,2,0.62
Monochaetum_brachyurum,shrub,1.8,0.52
Monochaetum_carbonoi,shrub,2,0.65
Monochaetum_ciliatum,shrub,1.45,0.48
Monochaetum_cinereum,shrub,0.8,0.43
Monochaetum_ecaudatum,shrub,1.5,0.41
Monochaetum_glanduliferum,shrub,1.75,0.45
Monochaetum_hartwegianum,shrub,1.25,0.48
Monochaetum_humboldtianum,shrub,1.25,0.52
Monochaetum_laxifolium,shrub,1.1,0.45
Monochaetum_lindenianum,shrub,1.15,0.46
Monochaetum_lineatum,shrub,1.75,0.43
Monochaetum_lineatum,shrub,3,0.6
Monochaetum_magdalenense,shrub,2.25,0.45
Monochaetum_meridense,shrub,2.25,0.46
Monochaetum_multiflorum,shrub,3.5,0.38
Monochaetum_myrtoideum,shrub,1.75,0.68
Monochaetum_perijense,shrub,2,0.62
Monochaetum_polyneurum,shrub,2,0.62
Monochaetum_rotundifolium,shrub,1.05,0.62
Monochaetum_strigosum,shrub,2.9,0.82
Monochaetum_tachirense,shrub,2.5,0.55
Monochaetum_uberrimum,shrub,2.3,0.55
Monochaetum_uribei,shrub,1.5,0.8
Physeterostemon_thomasii,shrub,0.2,0.4
Physeterostemon_gomesii,shrub,0.9,0.5
Miconia_valentinensis,tree,9,2.5
Huberia_cogniauxii,tree,3,2.95
Huberia_staminodia,shrub,1,3.1
Huberia_carvalhoi,tree,6,4.65
Miconia_kriegeriana,tree,2.75,2.5
Bertolonia_grazielae,herb,0.17,0.48
Bertolonia_sanguinea,herb,0.22,0.65
Meriania_claussenii,tree,10,0.95
Meriania_robusta,tree,10.25,0.7
Miconia_bradeana,tree,3.5,1.2
Miconia_calycopteris,shrub,3,0.6
Miconia_charleswrightii,shrub,2,0.65
Miconia_clementeana,shrub,3,0.65
Behuria_lumiarensis,shrub,1.25,1.5
Blakea_nareliana,tree,5,1.25
Miconia_atlantica,tree,10,2.4
Leandra_acutiflora,shrub,1.85,0.75
Leandra_australis,shrub,1.75,1.1
Leandra_catharinensis,shrub,0.75,0.7
Leandra_cordigera,shrub,0.85,0.9
Leandra_glabrata,shrub,1.25,0.9
Leandra_microphylla,shrub,0.4,0.6
Leandra_erostrata,shrub,0.7,0.65
Leandra_hatschbachii,shrub,2,1
Leandra_ionopogon,shrub,1.75,1
Leandra_calvescens,shrub,0.35,0.8
Leandra_cordifolia,shrub,1,0.8
Leandra_debilis,shrub,0.6,0.55
Leandra_echinata,shrub,2,0.7
Leandra_fallax,shrub,2.25,0.7
Leandra_gracilis,shrub,1.25,0.75
Leandra_humilis,shrub,0.95,0.7
Leandra_longisetosa,shrub,1.75,0.7
Leandra_purpurascens,shrub,1.4,1.1
Leandra_polystachya,shrub,1,1
Leandra_purpureovillosa,shrub,1.5,0.65
Leandra_refracta,shrub,1.25,0.5
Leandra_riograndensis,shrub,0.5,0.75
Leandra_salicina,shrub,0.55,0.85
Leandra_sulfurea,shrub,0.65,1.1
Leandra_xanthocoma,shrub,1,0.8
Leandra_xanthostachya,shrub,1.35,0.75
Leandra_magnipetala,shrub,0.75,0.3
Leandra_triantha,shrub,1.75,0.9
Sonerila_urceolata,herb,0.5,1
Miconia_caiuia,tree,15.5,3
Cambessedesia_espora_subsp._ilicifolia,shrub,0.38,0.5
Cambessedesia_hilariana,shrub,0.23,0.5
Tibouchina_hieracioides,herb,0.34,0.5
Marcetia_taxifolia,shrub,0.65,0.5
Leandra_aurea,shrub,1.5,0.5
Miconia_chartacea,tree,2.5,2.5
Miconia_corallina,tree,2.25,2
Leandra_erostrata,shrub,0.65,1
Miconia_kriegeriana,tree,2.75,2.5
Leandra_eichleri,shrub,0.3,0.85
Leandra_foveolata,shrub,0.65,1
Leandra_pennipilis,shrub,1.2,0.5
Leandra_salicina,shrub,0.3,1
Miconia_sellowiana,tree,3,1.5
Miconia_theizans,tree,3.25,0.4
Chaetostoma_armatum,shrub,0.3,0.5
Lavoisiera_compta,shrub,0.5,1
Microlicia_isophylla,shrub,0.7,0.5
Trembleya_phlogiformis,shrub,0.65,0.05
Tibouchina_collina,shrub,1.5,0.5
Tibouchina_heteromalla,shrub,1.25,0.5
Tibouchina_frigidula,shrub,0.7,0.5
Tibouchina_martiusiana,shrub,1.5,0.5
Tibouchina_semidecandra,shrub,2,0.5
Siphanthera_arenaria,herb,0.24,0.5
Microlicia_stenodonoides,tree,1.18,1.25
Blakea_nangaritzana,tree,14.5,1.1
Meriania_ardyae,tree,5.5,1.8
Meriania_zunacensis,tree,18,3
Medinilla_theresae,shrub,1.5,1.25
Cambessedesia_angelana,shrub,1,0.25
Cambessedesia_uncinata,shrub,1.3,0.35
Tibouchina_caatingae,shrub,1,0.9
Miconia_indicoviolacea,shrub,1,0.3
Meriania_sanchezii,tree,15,0.65
Dolichoura_kollmannii,shrub,0.32,1.2
Ossaea_suprabasalis,shrub,2,1
Behuria_capixaba,shrub,1.25,1.4
Ossaea_loligomorpha,tree,3,0.75
